,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Jul-2001,,2259.3,2261.3,,1261.7,1263.6,,997.6,997.7,,1618.0,1624.1,,1075.4,1076.2,,542.6,547.9,637.2,187.5,449.8,,59.3,59.4,,68.0,68.1,,51.1,51.1,,156.0,144.7,,87.4,79.8,,68.6,65.0,105.6,63.9,41.8,39.1,15.9,23.2,,6.5,6.0,,6.5,5.9,,6.4,6.1,6.1,5.6,7.1,5.8,7.8,4.9,,2415.3,2406.0,,1349.1,1343.4,,1066.3,1062.6,,63.4,63.2,,72.7,72.4,,54.6,54.4,1402.6,511.6,890.9,3808.6,1855.0,1953.6
Aug-2001,,2260.7,2240.4,,1257.0,1244.9,,1003.7,995.5,,1623.5,1601.1,,1072.5,1061.4,,551.1,539.7,639.3,183.5,455.9,,59.3,58.8,,67.7,67.0,,51.3,50.9,,159.5,153.8,,89.8,88.0,,69.7,65.9,113.6,72.0,41.7,40.2,16.0,24.2,,6.6,6.4,,6.7,6.6,,6.5,6.2,6.6,6.4,7.2,5.9,8.0,5.0,,2420.2,2394.2,,1346.8,1332.9,,1073.4,1061.4,,63.5,62.8,,72.5,71.8,,54.9,54.3,1418.3,524.3,894.0,3812.5,1857.1,1955.4
Sep-2001,,2264.2,2278.8,,1260.7,1264.5,,1003.4,1014.3,,1633.0,1649.7,,1080.1,1085.9,,552.9,563.8,629.1,178.6,450.5,,59.3,59.7,,67.8,68.0,,51.3,51.8,,153.8,159.9,,89.6,93.2,,64.1,66.7,112.1,74.7,37.4,47.8,18.5,29.3,,6.4,6.6,,6.6,6.9,,6.0,6.2,6.4,6.4,6.2,7.1,9.4,6.1,,2417.9,2438.7,,1350.4,1357.7,,1067.6,1081.0,,63.4,63.9,,72.6,73.0,,54.5,55.2,1377.7,501.5,876.2,3816.4,1859.2,1957.2
Oct-2001,,2264.9,2264.3,,1259.6,1259.6,,1005.3,1004.7,,1642.8,1641.6,,1081.3,1079.6,,561.5,562.0,622.7,180.1,442.6,,59.3,59.3,,67.7,67.7,,51.3,51.3,,174.3,165.8,,101.5,97.7,,72.7,68.1,119.3,79.7,39.6,46.5,18.0,28.5,,7.1,6.8,,7.5,7.2,,6.7,6.3,6.8,6.9,6.6,7.0,9.1,6.0,,2439.1,2430.1,,1361.1,1357.3,,1078.1,1072.8,,63.8,63.6,,73.1,72.9,,55.0,54.7,1390.9,504.1,886.8,3821.0,1861.4,1959.5
Nov-2001,,2272.9,2266.0,,1266.3,1260.7,,1006.6,1005.3,,1645.2,1642.3,,1089.8,1088.2,,555.3,554.1,623.8,172.6,451.2,,59.4,59.2,,67.9,67.6,,51.3,51.2,,162.6,148.0,,90.8,84.0,,71.8,64.0,110.0,68.3,41.7,38.0,15.7,22.3,,6.7,6.1,,6.7,6.2,,6.7,6.0,6.3,5.9,7.0,5.7,8.3,4.7,,2435.5,2414.0,,1357.1,1344.7,,1078.3,1069.3,,63.7,63.1,,72.8,72.2,,55.0,54.5,1411.5,518.9,892.5,3825.5,1863.6,1961.9
Dec-2001,,2257.2,2285.2,,1261.3,1277.2,,995.9,1008.1,,1640.5,1671.7,,1092.5,1110.2,,548.1,561.4,613.6,166.9,446.6,,58.9,59.7,,67.6,68.5,,50.7,51.3,,163.3,163.4,,88.0,88.1,,75.3,75.3,118.5,70.9,47.6,44.8,17.2,27.6,,6.7,6.7,,6.5,6.5,,7.0,6.9,6.6,6.0,7.8,6.8,9.3,5.8,,2420.5,2448.6,,1349.2,1365.3,,1071.2,1083.3,,63.2,63.9,,72.3,73.2,,54.5,55.2,1381.4,500.6,880.9,3830.0,1865.8,1964.2
Jan-2002,,2275.5,2253.0,,1268.1,1264.0,,1007.4,989.0,,1631.9,1641.5,,1087.5,1091.0,,544.4,550.4,611.5,172.9,438.6,,59.3,58.7,,67.8,67.6,,51.2,50.3,,160.7,170.9,,91.7,98.2,,69.0,72.8,123.3,76.1,47.2,47.6,22.1,25.6,,6.6,7.1,,6.7,7.2,,6.4,6.9,7.0,6.5,7.9,7.2,11.3,5.5,,2436.2,2424.0,,1359.7,1362.1,,1076.5,1061.8,,63.5,63.2,,72.8,72.9,,54.7,54.0,1412.1,506.9,905.2,3836.1,1869.1,1967.0
Feb-2002,,2272.6,2268.2,,1266.5,1267.9,,1006.1,1000.3,,1621.9,1637.5,,1083.5,1094.2,,538.4,543.3,630.7,173.7,457.0,,59.1,59.0,,67.6,67.7,,51.1,50.8,,152.0,170.0,,87.1,93.8,,64.9,76.2,123.9,75.4,48.5,46.1,18.4,27.7,,6.3,7.0,,6.4,6.9,,6.1,7.1,7.0,6.4,8.2,6.8,9.6,5.7,,2424.6,2438.2,,1353.6,1361.7,,1071.0,1076.5,,63.1,63.5,,72.3,72.7,,54.4,54.6,1404.0,510.6,893.3,3842.2,1872.3,1969.9
Mar-2002,,2276.6,2287.0,,1270.1,1275.3,,1006.4,1011.7,,1633.7,1634.1,,1088.8,1087.3,,544.9,546.8,652.9,188.0,464.9,,59.2,59.4,,67.7,68.0,,51.0,51.3,,146.2,153.0,,83.8,85.5,,62.4,67.5,113.7,72.0,41.6,39.3,13.4,25.9,,6.0,6.3,,6.2,6.3,,5.8,6.3,6.5,6.2,7.1,5.7,6.7,5.3,,2422.7,2440.0,,1353.9,1360.8,,1068.8,1079.2,,63.0,63.4,,72.2,72.6,,54.2,54.7,1408.2,514.7,893.5,3848.2,1875.5,1972.7
Apr-2002,,2278.4,2280.5,,1267.7,1270.2,,1010.7,1010.3,,1635.9,1632.2,,1088.3,1086.4,,547.6,545.8,648.4,183.8,464.6,,59.2,59.2,,67.5,67.7,,51.2,51.2,,136.0,138.2,,79.5,81.3,,56.4,56.9,99.8,60.8,39.0,38.4,20.6,17.8,,5.6,5.7,,5.9,6.0,,5.3,5.3,5.8,5.3,6.7,5.6,10.1,3.7,,2414.4,2418.7,,1347.2,1351.5,,1067.2,1067.2,,62.7,62.8,,71.8,72.0,,54.1,54.1,1432.4,525.5,906.9,3851.1,1877.0,1974.1
May-2002,,2282.7,2282.9,,1269.9,1269.8,,1012.8,1013.1,,1634.4,1627.1,,1094.9,1094.3,,539.5,532.8,655.8,175.5,480.3,,59.2,59.2,,67.6,67.6,,51.3,51.3,,140.3,141.2,,81.4,82.0,,58.9,59.2,99.3,64.8,34.5,41.9,17.3,24.7,,5.8,5.8,,6.0,6.1,,5.5,5.5,5.7,5.6,6.1,6.0,9.0,4.9,,2423.0,2424.1,,1351.3,1351.9,,1071.7,1072.3,,62.9,62.9,,71.9,72.0,,54.2,54.3,1429.9,526.7,903.2,3854.0,1878.5,1975.5
Jun-2002,,2282.7,2286.0,,1271.4,1272.1,,1011.3,1013.9,,1636.4,1621.4,,1091.7,1086.4,,544.6,535.0,664.6,185.7,478.9,,59.2,59.3,,67.6,67.7,,51.2,51.3,,154.0,147.8,,85.0,82.2,,69.0,65.6,115.6,69.9,45.7,32.2,12.3,19.9,,6.3,6.1,,6.3,6.1,,6.4,6.1,6.7,6.0,7.9,4.6,6.2,4.0,,2436.8,2433.8,,1356.4,1354.3,,1080.4,1079.5,,63.2,63.1,,72.1,72.0,,54.6,54.6,1423.1,525.7,897.4,3856.9,1880.0,1976.9
Jul-2002,,2281.9,2285.7,,1265.7,1267.9,,1016.2,1017.8,,1637.3,1642.8,,1086.9,1088.1,,550.4,554.8,642.9,179.8,463.0,,59.1,59.2,,67.3,67.4,,51.4,51.4,,134.4,124.5,,78.5,71.6,,55.9,52.9,92.3,60.1,32.2,32.3,11.6,20.7,,5.6,5.2,,5.8,5.3,,5.2,4.9,5.3,5.2,5.5,4.8,6.0,4.3,,2416.4,2410.2,,1344.2,1339.6,,1072.1,1070.7,,62.6,62.4,,71.4,71.2,,54.2,54.1,1450.6,542.4,908.2,3860.8,1882.0,1978.8
Aug-2002,,2296.5,2275.8,,1266.1,1254.0,,1030.4,1021.7,,1648.2,1625.3,,1080.7,1070.0,,567.5,555.4,650.4,184.1,466.4,,59.4,58.9,,67.2,66.6,,52.0,51.6,,152.4,146.6,,86.8,84.7,,65.6,61.9,105.3,68.1,37.2,41.3,16.7,24.6,,6.2,6.1,,6.4,6.3,,6.0,5.7,6.1,6.0,6.3,6.0,8.3,5.0,,2448.9,2422.4,,1352.9,1338.8,,1095.9,1083.6,,63.4,62.7,,71.8,71.1,,55.3,54.7,1442.4,545.3,897.1,3864.7,1884.0,1980.7
Sep-2002,,2295.7,2309.5,,1265.3,1269.5,,1030.3,1040.0,,1643.8,1659.2,,1081.7,1087.6,,562.1,571.6,650.3,182.0,468.4,,59.3,59.7,,67.1,67.3,,52.0,52.5,,143.9,149.6,,79.5,82.5,,64.4,67.0,102.9,65.8,37.1,46.6,16.8,29.9,,5.9,6.1,,5.9,6.1,,5.9,6.1,5.8,5.7,6.1,6.7,8.4,6.0,,2439.6,2459.1,,1344.8,1352.1,,1094.7,1107.0,,63.1,63.6,,71.3,71.7,,55.2,55.8,1409.6,534.0,875.7,3868.7,1886.0,1982.6
Oct-2002,,2286.8,2286.2,,1253.6,1253.7,,1033.3,1032.6,,1634.6,1632.3,,1071.4,1069.5,,563.2,562.8,654.0,184.2,469.7,,59.0,59.0,,66.4,66.4,,52.1,52.0,,145.1,137.9,,82.6,79.4,,62.5,58.4,96.5,65.3,31.2,41.4,14.1,27.3,,6.0,5.7,,6.2,6.0,,5.7,5.4,5.6,5.8,5.2,6.0,7.1,5.5,,2431.9,2424.1,,1336.1,1333.1,,1095.8,1091.0,,62.8,62.6,,70.8,70.6,,55.2,55.0,1449.2,555.1,894.1,3873.3,1888.3,1985.1
Nov-2002,,2314.6,2313.9,,1273.1,1269.7,,1041.5,1044.2,,1650.7,1649.5,,1084.8,1083.1,,565.8,566.4,664.4,186.6,477.8,,59.7,59.7,,67.3,67.2,,52.4,52.5,,141.8,128.4,,77.2,71.1,,64.6,57.3,97.3,59.8,37.5,31.1,11.3,19.8,,5.8,5.3,,5.7,5.3,,5.8,5.2,5.6,5.2,6.2,4.5,5.7,4.0,,2456.4,2442.3,,1350.3,1340.8,,1106.1,1101.5,,63.3,63.0,,71.4,70.9,,55.7,55.4,1435.8,549.8,886.0,3878.0,1890.5,1987.5
Dec-2002,,2334.3,2363.2,,1286.6,1302.7,,1047.7,1060.6,,1670.0,1701.4,,1096.4,1114.6,,573.5,586.7,661.8,188.0,473.8,,60.1,60.9,,68.0,68.8,,52.6,53.3,,138.4,138.8,,77.5,77.8,,60.9,61.0,100.2,61.2,39.0,38.6,16.6,22.0,,5.6,5.5,,5.7,5.6,,5.5,5.4,5.6,5.2,6.2,5.5,8.1,4.4,,2472.7,2502.0,,1364.1,1380.4,,1108.6,1121.6,,63.7,64.4,,72.1,72.9,,55.7,56.4,1380.7,512.3,868.4,3882.7,1892.7,1990.0
Jan-2003,,2341.8,2318.6,,1276.6,1271.4,,1065.2,1047.2,,1663.1,1670.8,,1091.9,1094.8,,571.2,576.0,647.9,176.7,471.2,,60.2,59.6,,67.3,67.0,,53.5,52.6,,138.3,146.9,,79.7,85.2,,58.5,61.7,113.6,70.0,43.7,33.3,15.2,18.0,,5.6,6.0,,5.9,6.3,,5.2,5.6,6.4,6.0,7.0,4.9,7.9,3.7,,2480.1,2465.5,,1356.3,1356.6,,1123.8,1108.9,,63.8,63.4,,71.5,71.5,,56.4,55.6,1423.6,539.8,883.8,3889.2,1896.4,1992.8
Feb-2003,,2349.7,2346.1,,1278.7,1280.3,,1071.1,1065.8,,1669.0,1686.7,,1096.9,1107.6,,572.1,579.0,659.5,172.7,486.8,,60.3,60.2,,67.3,67.4,,53.7,53.4,,125.5,140.3,,73.6,79.4,,51.9,61.0,100.8,63.3,37.5,39.5,16.0,23.5,,5.1,5.6,,5.4,5.8,,4.6,5.4,5.6,5.4,6.1,5.7,8.5,4.6,,2475.3,2486.5,,1352.3,1359.7,,1123.0,1126.8,,63.5,63.8,,71.2,71.6,,56.3,56.5,1409.2,540.4,868.8,3895.6,1900.1,1995.6
Mar-2003,,2325.1,2336.2,,1280.4,1285.4,,1044.7,1050.8,,1648.1,1648.1,,1092.7,1091.1,,555.4,556.9,688.1,194.3,493.8,,59.6,59.9,,67.3,67.5,,52.3,52.6,,138.4,145.3,,72.9,74.6,,65.5,70.7,104.9,59.6,45.3,40.4,15.0,25.4,,5.6,5.9,,5.4,5.5,,5.9,6.3,6.0,5.2,7.5,5.5,7.1,4.9,,2463.5,2481.4,,1353.3,1360.0,,1110.1,1121.4,,63.1,63.6,,71.1,71.4,,55.6,56.1,1420.7,543.7,877.0,3902.1,1903.7,1998.4
Apr-2003,,2324.0,2325.7,,1274.8,1277.2,,1049.3,1048.5,,1654.5,1650.4,,1083.6,1081.2,,570.9,569.2,675.3,196.0,479.3,,59.5,59.6,,66.9,67.0,,52.5,52.4,,141.3,144.4,,76.8,78.9,,64.5,65.5,100.5,62.7,37.9,43.8,16.2,27.6,,5.7,5.8,,5.7,5.8,,5.8,5.9,5.7,5.5,6.2,6.1,7.6,5.4,,2465.4,2470.1,,1351.6,1356.1,,1113.8,1114.0,,63.1,63.2,,70.9,71.2,,55.7,55.7,1435.3,549.3,886.0,3905.4,1905.4,2000.1
May-2003,,2334.9,2335.0,,1279.1,1278.9,,1055.8,1056.2,,1652.9,1646.3,,1088.9,1088.0,,564.0,558.3,688.7,190.9,497.8,,59.7,59.7,,67.1,67.1,,52.7,52.8,,146.1,147.0,,79.6,80.1,,66.5,67.0,103.7,65.2,38.5,43.4,14.9,28.5,,5.9,5.9,,5.9,5.9,,5.9,6.0,5.9,5.7,6.4,5.9,7.2,5.4,,2481.0,2482.1,,1358.6,1359.0,,1122.3,1123.1,,63.5,63.5,,71.2,71.3,,56.1,56.1,1426.7,548.1,878.6,3908.8,1907.1,2001.7
Jun-2003,,2327.7,2330.6,,1274.7,1275.2,,1053.0,1055.4,,1643.9,1629.7,,1091.9,1086.4,,552.0,543.3,700.9,188.8,512.1,,59.5,59.6,,66.8,66.8,,52.6,52.7,,145.9,140.1,,78.7,76.1,,67.2,64.0,99.1,59.4,39.7,41.0,16.7,24.3,,5.9,5.7,,5.8,5.6,,6.0,5.7,5.7,5.2,6.8,5.5,8.1,4.5,,2473.6,2470.7,,1353.4,1351.3,,1120.2,1119.5,,63.2,63.2,,70.9,70.8,,55.9,55.9,1441.4,557.5,883.9,3912.1,1908.8,2003.4
Jul-2003,,2328.4,2331.4,,1285.0,1287.3,,1043.4,1044.2,,1655.1,1659.9,,1090.1,1091.7,,564.9,568.1,671.5,195.5,476.0,,59.4,59.5,,67.2,67.4,,52.0,52.1,,140.3,130.2,,77.5,71.0,,62.8,59.3,92.4,56.9,35.5,37.8,14.0,23.8,,5.7,5.3,,5.7,5.2,,5.7,5.4,5.3,5.0,5.9,5.3,6.7,4.8,,2468.7,2461.6,,1362.5,1358.2,,1106.2,1103.4,,63.0,62.9,,71.3,71.1,,55.2,55.0,1454.9,552.9,902.0,3916.6,1911.1,2005.4
Aug-2003,,2334.4,2313.7,,1290.6,1278.6,,1043.8,1035.0,,1651.6,1629.2,,1095.1,1084.6,,556.5,544.6,684.5,194.0,490.4,,59.5,59.0,,67.4,66.8,,52.0,51.6,,136.2,130.5,,73.2,71.2,,63.0,59.3,93.5,58.1,35.4,37.0,13.0,24.0,,5.5,5.3,,5.4,5.3,,5.7,5.4,5.4,5.1,6.1,5.1,6.3,4.7,,2470.6,2444.2,,1363.8,1349.8,,1106.8,1094.4,,63.0,62.3,,71.3,70.5,,55.1,54.5,1476.8,563.7,913.1,3921.0,1913.5,2007.5
Sep-2003,,2352.3,2365.8,,1301.0,1306.1,,1051.3,1059.7,,1656.9,1671.0,,1099.7,1105.9,,557.2,565.0,694.8,200.1,494.7,,59.9,60.3,,67.9,68.2,,52.3,52.7,,131.7,136.1,,71.5,74.0,,60.2,62.1,96.6,57.5,39.1,39.5,16.5,23.0,,5.3,5.4,,5.2,5.4,,5.4,5.5,5.5,4.9,6.5,5.4,7.6,4.4,,2484.0,2501.9,,1372.5,1380.0,,1111.5,1121.8,,63.3,63.7,,71.6,72.0,,55.3,55.8,1423.6,535.8,887.8,3925.4,1915.8,2009.6
Oct-2003,,2341.9,2341.4,,1298.5,1298.5,,1043.4,1042.9,,1666.6,1662.4,,1107.4,1105.0,,559.2,557.4,679.0,193.5,485.5,,59.6,59.6,,67.7,67.7,,51.9,51.8,,137.6,130.5,,71.6,68.9,,66.0,61.6,90.2,56.4,33.8,40.3,12.5,27.8,,5.6,5.3,,5.2,5.0,,5.9,5.6,5.1,4.9,5.7,5.6,6.0,5.4,,2479.5,2471.8,,1370.1,1367.3,,1109.4,1104.5,,63.1,62.9,,71.4,71.3,,55.1,54.9,1457.6,550.4,907.2,3929.4,1917.8,2011.7
Nov-2003,,2338.8,2337.6,,1296.5,1293.1,,1042.3,1044.5,,1658.6,1658.1,,1096.5,1094.7,,562.1,563.4,679.5,198.4,481.1,,59.5,59.4,,67.5,67.4,,51.8,51.9,,130.3,117.6,,67.9,62.2,,62.4,55.5,85.8,52.3,33.5,31.9,9.8,22.0,,5.3,4.8,,5.0,4.6,,5.7,5.0,4.9,4.6,5.6,4.5,4.7,4.4,,2469.1,2455.2,,1364.4,1355.2,,1104.7,1100.0,,62.8,62.4,,71.1,70.6,,54.9,54.6,1478.2,564.5,913.8,3933.5,1919.7,2013.8
Dec-2003,,2345.9,2374.5,,1305.3,1321.3,,1040.6,1053.2,,1661.9,1692.8,,1101.7,1120.2,,560.3,572.6,681.7,201.0,480.6,,59.6,60.3,,67.9,68.8,,51.6,52.2,,138.1,138.6,,71.6,72.0,,66.5,66.6,94.3,54.6,39.7,44.3,17.4,26.9,,5.6,5.5,,5.2,5.2,,6.0,5.9,5.3,4.7,6.5,6.1,8.0,5.3,,2484.0,2513.1,,1376.9,1393.3,,1107.1,1119.8,,63.1,63.8,,71.7,72.5,,54.9,55.6,1424.3,528.3,896.0,3937.5,1921.6,2015.8
Jan-2004,,2352.1,2329.9,,1306.1,1300.0,,1046.0,1029.9,,1673.8,1680.7,,1109.2,1112.0,,564.6,568.7,649.2,188.0,461.2,,59.6,59.1,,67.9,67.5,,51.8,51.0,,136.4,144.7,,76.2,81.3,,60.3,63.4,105.5,63.7,41.8,39.2,17.6,21.6,,5.5,5.8,,5.5,5.9,,5.4,5.8,5.9,5.4,6.8,5.7,8.6,4.5,,2488.5,2474.5,,1382.2,1381.3,,1106.3,1093.2,,63.1,62.8,,71.8,71.8,,54.8,54.2,1468.7,543.5,925.2,3943.3,1924.8,2018.5
Feb-2004,,2351.2,2348.9,,1304.3,1305.8,,1047.0,1043.0,,1685.3,1704.1,,1114.7,1125.1,,570.6,579.0,644.8,180.7,464.1,,59.5,59.5,,67.6,67.7,,51.8,51.6,,139.2,156.8,,72.0,77.8,,67.2,78.9,104.4,60.5,43.8,52.4,17.3,35.1,,5.6,6.3,,5.2,5.6,,6.0,7.0,5.8,5.1,7.0,7.5,8.7,7.0,,2490.4,2505.6,,1376.3,1383.7,,1114.2,1122.0,,63.1,63.4,,71.4,71.8,,55.1,55.5,1443.5,544.3,899.2,3949.1,1928.0,2021.2
Mar-2004,,2362.5,2373.7,,1309.9,1314.7,,1052.7,1059.0,,1681.3,1680.6,,1114.8,1112.7,,566.5,567.9,693.1,202.0,491.1,,59.7,60.0,,67.8,68.1,,52.0,52.3,,130.3,136.9,,67.8,69.5,,62.5,67.4,92.1,54.5,37.6,44.8,15.0,29.8,,5.2,5.5,,4.9,5.0,,5.6,6.0,5.2,4.7,6.2,6.1,6.9,5.7,,2492.8,2510.6,,1377.7,1384.2,,1115.1,1126.3,,63.0,63.5,,71.3,71.7,,55.1,55.7,1444.4,546.9,897.5,3955.0,1931.2,2023.8
Apr-2004,,2358.2,2359.7,,1310.8,1313.2,,1047.4,1046.5,,1684.3,1679.3,,1115.0,1112.2,,569.3,567.1,680.4,201.0,479.4,,59.6,59.6,,67.8,67.9,,51.7,51.7,,138.8,142.4,,76.8,79.0,,62.0,63.4,103.0,61.0,41.9,39.5,18.0,21.5,,5.6,5.7,,5.5,5.7,,5.6,5.7,5.8,5.2,6.9,5.5,8.2,4.3,,2497.0,2502.1,,1387.6,1392.3,,1109.4,1109.9,,63.1,63.2,,71.8,72.0,,54.8,54.8,1456.0,540.5,915.5,3958.1,1932.8,2025.4
May-2004,,2363.9,2364.2,,1310.0,1309.9,,1053.9,1054.3,,1690.6,1685.3,,1111.9,1110.8,,578.7,574.5,678.9,199.1,479.8,,59.7,59.7,,67.7,67.7,,52.0,52.0,,125.9,126.7,,73.2,73.6,,52.7,53.1,90.4,57.6,32.8,36.3,16.0,20.3,,5.1,5.1,,5.3,5.3,,4.8,4.8,5.1,4.9,5.4,5.1,7.5,4.1,,2489.8,2491.0,,1383.3,1383.5,,1106.5,1107.5,,62.9,62.9,,71.5,71.5,,54.6,54.6,1470.3,550.9,919.4,3961.3,1934.4,2026.9
Jun-2004,,2368.0,2370.3,,1313.9,1314.2,,1054.1,1056.1,,1703.9,1690.1,,1120.8,1115.1,,583.1,575.0,680.1,199.0,481.1,,59.7,59.8,,67.9,67.9,,52.0,52.1,,133.1,128.1,,74.3,71.9,,58.8,56.2,93.7,58.3,35.4,34.4,13.5,20.9,,5.3,5.1,,5.4,5.2,,5.3,5.1,5.3,5.0,5.8,4.8,6.4,4.2,,2501.1,2498.4,,1388.2,1386.0,,1112.9,1112.3,,63.1,63.0,,71.7,71.6,,54.9,54.8,1466.1,550.0,916.1,3964.4,1936.0,2028.4
Jul-2004,,2373.4,2375.8,,1315.1,1317.2,,1058.3,1058.6,,1688.0,1692.2,,1113.8,1115.9,,574.2,576.3,683.6,201.3,482.3,,59.8,59.9,,67.8,67.9,,52.1,52.1,,136.0,126.3,,72.3,66.5,,63.6,59.7,94.8,54.7,40.1,31.5,11.9,19.7,,5.4,5.0,,5.2,4.8,,5.7,5.3,5.3,4.7,6.5,4.4,5.6,3.9,,2509.4,2502.0,,1387.4,1383.7,,1122.0,1118.3,,63.2,63.0,,71.6,71.4,,55.2,55.1,1467.5,555.0,912.5,3969.5,1938.7,2030.8
Aug-2004,,2383.1,2361.9,,1318.8,1306.9,,1064.3,1055.0,,1702.1,1679.7,,1122.4,1111.9,,579.7,567.8,682.2,195.0,487.1,,60.0,59.4,,67.9,67.3,,52.3,51.9,,147.4,141.2,,77.9,75.5,,69.5,65.7,95.1,57.8,37.2,46.2,17.7,28.5,,5.8,5.6,,5.6,5.5,,6.1,5.9,5.4,4.9,6.2,6.3,8.3,5.5,,2530.4,2503.1,,1396.6,1382.4,,1133.8,1120.7,,63.7,63.0,,71.9,71.2,,55.8,55.1,1471.5,559.0,912.5,3974.6,1941.4,2033.2
Sep-2004,,2394.1,2406.8,,1323.1,1328.3,,1070.9,1078.5,,1692.9,1706.1,,1117.7,1124.2,,575.3,582.0,700.7,204.2,496.5,,60.2,60.5,,68.1,68.3,,52.6,53.0,,147.8,152.1,,82.7,85.4,,65.1,66.7,107.4,68.4,39.1,44.7,17.0,27.7,,5.8,5.9,,5.9,6.0,,5.7,5.8,5.9,5.7,6.3,6.0,7.7,5.3,,2541.9,2559.0,,1405.8,1413.8,,1136.1,1145.2,,63.9,64.3,,72.3,72.7,,55.8,56.3,1420.7,530.4,890.3,3979.7,1944.2,2035.5
Oct-2004,,2405.1,2404.8,,1328.0,1327.9,,1077.1,1076.8,,1703.9,1697.6,,1125.3,1122.4,,578.6,575.2,707.2,205.6,501.6,,60.4,60.4,,68.2,68.2,,52.9,52.8,,144.3,136.8,,80.7,77.4,,63.6,59.4,101.1,61.5,39.6,35.7,15.9,19.8,,5.7,5.4,,5.7,5.5,,5.6,5.2,5.6,5.2,6.4,4.8,7.2,3.8,,2549.3,2541.5,,1408.6,1405.3,,1140.7,1136.2,,64.0,63.8,,72.4,72.2,,56.0,55.8,1442.8,541.1,901.7,3984.3,1946.4,2037.9
Nov-2004,,2413.9,2405.9,,1328.4,1322.6,,1085.5,1083.3,,1719.3,1719.2,,1134.3,1132.5,,585.0,586.6,686.7,190.1,496.6,,60.5,60.3,,68.2,67.9,,53.2,53.1,,145.3,131.0,,80.0,73.0,,65.3,58.0,97.3,61.7,35.5,33.7,11.2,22.5,,5.7,5.2,,5.7,5.2,,5.7,5.1,5.4,5.2,5.7,4.7,5.6,4.3,,2559.2,2536.9,,1408.4,1395.6,,1150.8,1141.3,,64.2,63.6,,72.3,71.6,,56.4,55.9,1452.0,553.1,898.9,3988.9,1948.7,2040.2
Dec-2004,,2428.3,2457.3,,1338.6,1354.6,,1089.7,1102.7,,1722.4,1754.1,,1136.7,1155.9,,585.7,598.3,703.2,198.7,504.5,,60.8,61.5,,68.6,69.4,,53.3,54.0,,142.7,143.2,,76.2,76.4,,66.6,66.8,103.4,61.0,42.5,39.8,15.4,24.3,,5.6,5.5,,5.4,5.3,,5.8,5.7,5.6,5.0,6.6,5.4,7.2,4.6,,2571.0,2600.5,,1414.8,1431.0,,1156.2,1169.6,,64.4,65.1,,72.5,73.3,,56.6,57.3,1393.0,520.0,873.0,3993.5,1950.9,2042.6
